AÃ±o,Trimestre,Provincia,Mbps (Media de bajada)
2021,1,Salta,2732
2021,1,San Juan,6910
2021,1,San Luis,2159
2021,1,Santa Cruz,7500
2021,1,Santa Fe,2813
2021,1,Santiago Del Estero,1158
2021,1,Tierra Del Fuego,8730
2021,1,TucumÃ¡n,3798
2020,4,Buenos Aires,5001
2020,4,Capital Federal,6733
2020,4,Catamarca,3765
2020,4,Chaco,3245
2020,4,Chubut,7380
2020,4,CÃ³rdoba,3512
2020,4,Corrientes,2545
2020,4,Entre RÃ­os,2405
2020,4,Formosa,197
2020,4,Jujuy,2521
2020,4,La Pampa,9880
2020,4,La Rioja,1253
2020,4,Mendoza,1109
2020,4,Misiones,2496
2020,4,NeuquÃ©n,3391
2020,4,RÃ­o Negro,2164
2020,4,Salta,2532
2020,4,San Juan,6410
2020,4,San Luis,2125
2020,4,Santa Cruz,7490
2020,4,Santa Fe,2729
2020,4,Santiago Del Estero,1128
2020,4,Tierra Del Fuego,8490
2020,4,TucumÃ¡n,3644
2020,3,Buenos Aires,4838
2020,3,Capital Federal,6381
2020,3,Catamarca,3654
2020,3,Chaco,308
2020,3,Chubut,7400
2020,3,CÃ³rdoba,3351
2020,3,Corrientes,2385
2020,3,Entre RÃ­os,2243
2020,3,Formosa,1828
2020,3,Jujuy,2191
2020,3,La Pampa,107
2020,3,La Rioja,1219
2020,3,Mendoza,1019
2020,3,Misiones,2414
2020,3,NeuquÃ©n,3146
2020,3,RÃ­o Negro,2108
2020,3,Salta,2526
2020,3,San Juan,6030
2020,3,San Luis,2085
2020,3,Santa Cruz,6650
2020,3,Santa Fe,2569
2020,3,Santiago Del Estero,1088
2020,3,Tierra Del Fuego,8510
2020,3,TucumÃ¡n,3484
2020,2,Buenos Aires,4566
2020,2,Capital Federal,6048
2020,2,Catamarca,3493
2020,2,Chaco,2795
2020,2,Chubut,7610
2020,2,CÃ³rdoba,3099
2020,2,Corrientes,2215
2020,2,Entre RÃ­os,2045
2020,2,Formosa,1687
2020,2,Jujuy,1586
2020,2,La Pampa,8030
2020,2,La Rioja,1167
2020,2,Mendoza,9270
2020,2,Misiones,2256
2020,2,NeuquÃ©n,291
2020,2,RÃ­o Negro,1968
2020,2,Salta,2256
2020,2,San Juan,6310
2020,2,San Luis,2102
2020,2,Santa Cruz,6590
2020,2,Santa Fe,2393
2020,2,Santiago Del Estero,1041
2020,2,Tierra Del Fuego,8130
2020,2,TucumÃ¡n,327
2020,1,Buenos Aires,4518
2020,1,Capital Federal,5871
2020,1,Catamarca,2913
2020,1,Chaco,2594
2020,1,Chubut,7120
2020,1,CÃ³rdoba,2939
2020,1,Corrientes,2054
2020,1,Entre RÃ­os,1903
2020,1,Formosa,157
2020,1,Jujuy,1414
2020,1,La Pampa,7290
2020,1,La Rioja,7960
2020,1,Mendoza,8440
2020,1,Misiones,2215
2020,1,NeuquÃ©n,2777
2020,1,RÃ­o Negro,1906
2020,1,Salta,2143
2020,1,San Juan,6040
2020,1,San Luis,2099
2020,1,Santa Cruz,6420
2020,1,Santa Fe,2242
2020,1,Santiago Del Estero,10
2020,1,Tierra Del Fuego,7410
2020,1,TucumÃ¡n,3225
2019,4,Buenos Aires,3077
2019,4,Capital Federal,442
2019,4,Catamarca,2488
2019,4,Chaco,2337
2019,4,Chubut,6990
2019,4,CÃ³rdoba,2616
2019,4,Corrientes,1926
2019,4,Entre RÃ­os,1701
