AÃ±o,Trimestre,Provincia,Accesos telefonia fija (total),Accesos telefonia fija (hogares),Accesos telefonia fija (comercial),Accesos telefonia fija (gobierno),Accesos telefonia fija (otros)
2017,4,NeuquÃ©n,101846,89046,7162,3760,5262
2017,4,RÃ­o Negro,145598,127299,10239,5370,7523
2017,4,Salta,139346,121832,98,5140,72
2017,4,San Juan,114113,99771,8025,4210,5896
2017,4,San Luis,53797,47036,3783,1980,278
2017,4,Santa Cruz,47233,41297,3322,1740,244
2017,4,Santa Fe,742944,649567,52249,2741,38387
2017,4,Santiago del Estero,64481,56376,4535,2380,3332
2017,4,Tierra del Fuego,38952,34056,2739,1440,2013
2017,4,TucumÃ¡n,211561,184971,14878,7810,10931
2017,3,Buenos Aires,4780187,4166450,341904,17491,254342
2017,3,Capital Federal,1605054,1398978,114802,5873,85401
2017,3,Catamarca,38840,33853,2778,1420,2067
2017,3,Chaco,102824,89623,7354,3760,5471
2017,3,Chubut,118225,103046,8456,4330,629
2017,3,CÃ³rdoba,704433,613989,50385,2578,37481
2017,3,Corrientes,102558,89391,7335,3750,5457
2017,3,Entre RÃ­os,224703,195853,16072,8220,11956
2017,3,Formosa,41233,35939,2949,1510,2194
2017,3,Jujuy,56581,49316,4047,2070,3011
2017,3,La Pampa,82810,72178,5923,3030,4406
2017,3,La Rioja,38014,33133,2719,1390,2023
2017,3,Mendoza,377803,329297,27022,1382,20102
2017,3,Misiones,110690,96478,7917,4050,589
2017,3,NeuquÃ©n,101751,88687,7278,3720,5414
2017,3,RÃ­o Negro,143888,125414,10292,5260,7656
2017,3,Salta,139723,121784,9994,5110,7434
2017,3,San Juan,112398,97968,8039,4110,598
2017,3,San Luis,53793,46886,3848,1970,2862
2017,3,Santa Cruz,44728,38985,3199,1640,238
2017,3,Santa Fe,739999,644988,52929,2708,39374
2017,3,Santiago del Estero,65541,57126,4688,2400,3487
2017,3,Tierra del Fuego,38815,33832,2776,1420,2065
2017,3,TucumÃ¡n,211547,184386,15131,7740,11256
2017,2,Buenos Aires,4916108,4280149,359598,18042,258319
2017,2,Capital Federal,1580199,1375781,115587,5799,83032
2017,2,Catamarca,38551,33564,282,1410,2026
2017,2,Chaco,103002,89678,7534,3780,5412
2017,2,Chubut,115321,100403,8435,4230,606
2017,2,CÃ³rdoba,703322,612339,51446,2581,36956
2017,2,Corrientes,102444,89192,7493,3760,5383
2017,2,Entre RÃ­os,225017,195908,16459,8260,11824
2017,2,Formosa,40743,35472,298,1500,2141
2017,2,Jujuy,56381,49087,4124,2070,2963
2017,2,La Pampa,81939,71338,5994,3010,4306
2017,2,La Rioja,37869,32970,277,1390,199
2017,2,Mendoza,370071,322197,2707,1358,19446
2017,2,Misiones,110533,96234,8085,4060,5808
2017,2,NeuquÃ©n,98956,86155,7238,3630,52
2017,2,RÃ­o Negro,141053,122805,10318,5180,7412
2017,2,Salta,139208,121199,10183,5110,7315
2017,2,San Juan,107299,93418,7849,3940,5638
2017,2,San Luis,53178,46299,389,1950,2794
2017,2,Santa Cruz,44254,38530,3237,1620,2325
2017,2,Santa Fe,741843,645875,54264,2723,38981
2017,2,Santiago del Estero,66024,57484,4829,2420,3469
2017,2,Tierra del Fuego,37976,33064,2778,1390,1995
2017,2,TucumÃ¡n,210228,183031,15378,7720,11047
2017,1,Buenos Aires,4872542,4259081,343205,18007,252249
2017,1,Capital Federal,1608800,1406249,113318,5946,83287
2017,1,Catamarca,38665,33797,2723,1430,2002
2017,1,Chaco,102077,89226,719,3770,5284
2017,1,Chubut,122592,107157,8635,4530,6347
2017,1,CÃ³rdoba,702744,614267,49499,2597,36381
2017,1,Corrientes,102049,89201,7188,3770,5283
2017,1,Entre RÃ­os,223126,195034,15716,8250,11551
2017,1,Formosa,41139,35959,2898,1520,213
2017,1,Jujuy,56418,49314,3974,2090,2921
2017,1,La Pampa,83364,72868,5872,3080,4316
2017,1,La Rioja,37770,33015,266,1400,1955
2017,1,Mendoza,381118,333135,26845,1408,1973
2017,1,Misiones,115189,100687,8113,4260,5963
2017,1,NeuquÃ©n,101846,89023,7174,3760,5273
2017,1,RÃ­o Negro,145598,127267,10255,5380,7538
2017,1,Salta,139346,121802,9815,5150,7214
2017,1,San Juan,114113,99745,8038,4220,5908
2017,1,San Luis,53797,47024,3789,1990,2785
2017,1,Santa Cruz,47233,41286,3327,1750,2445
2017,1,Santa Fe,741856,648454,52254,2742,38406
2017,1,Santiago del Estero,64481,56363,4542,2380,3338
2017,1,Tierra del Fuego,38952,34047,2744,1440,2017
2017,1,TucumÃ¡n,211561,184925,14902,7820,10952
2016,4,Buenos Aires,4881863,4268288,343324,18011,25224
2016,4,Capital Federal,1618260,1414870,113807,597,83613
2016,4,Catamarca,38665,33805,2719,1430,1998
2016,4,Chaco,102077,89247,7179,3770,5274
2016,4,Chubut,122592,107185,8621,4520,6334
2016,4,CÃ³rdoba,704306,615786,49531,2598,36391
2016,4,Corrientes,102049,89223,7177,3760,5273
2016,4,Entre RÃ­os,223126,195082,15692,8230,11529
2016,4,Formosa,41139,35968,2893,1520,2126
2016,4,Jujuy,56418,49327,3968,2080,2915
2016,4,La Pampa,83364,72886,5863,3080,4307
2016,4,La Rioja,37770,33023,2656,1390,1952
2016,4,Mendoza,381118,333217,26803,1406,19692
2016,4,Misiones,115189,100711,8101,4250,5952
2016,4,NeuquÃ©n,101846,89046,7162,3760,5262
2016,4,RÃ­o Negro,145598,127299,10239,5370,7523
2016,4,Salta,139346,121832,98,5140,72
2016,4,San Juan,114113,99771,8025,4210,5896
2016,4,San Luis,53797,47036,3783,1980,278
2016,4,Santa Cruz,47233,41297,3322,1740,244
2016,4,Santa Fe,742944,649567,52249,2741,38387
2016,4,Santiago del Estero,64481,56376,4535,2380,3332
2016,4,Tierra del Fuego,38952,34056,2739,1440,2013
2016,4,TucumÃ¡n,211561,184971,14878,7810,10931
2016,3,Buenos Aires,4780187,4166450,341904,17491,254342
2016,3,Capital Federal,1605054,1398978,114802,5873,85401
2016,3,Catamarca,38840,33853,2778,1420,2067
2016,3,Chaco,102824,89623,7354,3760,5471
2016,3,Chubut,118225,103046,8456,4330,629
2016,3,CÃ³rdoba,704433,613989,50385,2578,37481
2016,3,Corrientes,102558,89391,7335,3750,5457
2016,3,Entre RÃ­os,224703,195853,16072,8220,11956
2016,3,Formosa,41233,35939,2949,1510,2194
2016,3,Jujuy,56581,49316,4047,2070,3011
2016,3,La Pampa,82810,72178,5923,3030,4406
2016,3,La Rioja,38014,33133,2719,1390,2023
2016,3,Mendoza,377803,329297,27022,1382,20102
2016,3,Misiones,110690,96478,7917,4050,589
2016,3,NeuquÃ©n,101751,88687,7278,3720,5414
2016,3,RÃ­o Negro,143888,125414,10292,5260,7656
2016,3,Salta,139723,121784,9994,5110,7434
2016,3,San Juan,112398,97968,8039,4110,598
2016,3,San Luis,53793,46886,3848,1970,2862
2016,3,Santa Cruz,44728,38985,3199,1640,238
2016,3,Santa Fe,739999,644988,52929,2708,39374
2016,3,Santiago del Estero,65541,57126,4688,2400,3487
2016,3,Tierra del Fuego,38815,33832,2776,1420,2065
2016,3,TucumÃ¡n,211547,184386,15131,7740,11256
2016,2,Buenos Aires,4916108,4280149,359598,18042,258319
2016,2,Capital Federal,1580199,1375781,115587,5799,83032
2016,2,Catamarca,38551,33564,282,1410,2026
2016,2,Chaco,103002,89678,7534,3780,5412
2016,2,Chubut,115321,100403,8435,4230,606
2016,2,CÃ³rdoba,703322,612339,51446,2581,36956
2016,2,Corrientes,102444,89192,7493,3760,5383
2016,2,Entre RÃ­os,225017,195908,16459,8260,11824
2016,2,Formosa,40743,35472,298,1500,2141
2016,2,Jujuy,56381,49087,4124,2070,2963
2016,2,La Pampa,81939,71338,5994,3010,4306
2016,2,La Rioja,37869,32970,277,1390,199
2016,2,Mendoza,370071,322197,2707,1358,19446
2016,2,Misiones,110533,96234,8085,4060,5808
2016,2,NeuquÃ©n,98956,86155,7238,3630,52
2016,2,RÃ­o Negro,141053,122805,10318,5180,7412
2016,2,Salta,139208,121199,10183,5110,7315
2016,2,San Juan,107299,93418,7849,3940,5638
2016,2,San Luis,53178,46299,389,1950,2794
2016,2,Santa Cruz,44254,38530,3237,1620,2325
2016,2,Santa Fe,741843,645875,54264,2723,38981
2016,2,Santiago del Estero,66024,57484,4829,2420,3469
2016,2,Tierra del Fuego,37976,33064,2778,1390,1995
2016,2,TucumÃ¡n,210228,183031,15378,7720,11047
2016,1,Buenos Aires,4872542,4259081,343205,18007,252249
2016,1,Capital Federal,1608800,1406249,113318,5946,83287
2016,1,Catamarca,38665,33797,2723,1430,2002
2016,1,Chaco,102077,89226,719,3770,5284
2016,1,Chubut,122592,107157,8635,4530,6347
2016,1,CÃ³rdoba,702744,614267,49499,2597,36381
2016,1,Corrientes,102049,89201,7188,3770,5283
2016,1,Entre RÃ­os,223126,195034,15716,8250,11551
2016,1,Formosa,41139,35959,2898,1520,213
2016,1,Jujuy,56418,49314,3974,2090,2921
2016,1,La Pampa,83364,72868,5872,3080,4316
2016,1,La Rioja,37770,33015,266,1400,1955
2016,1,Mendoza,381118,333135,26845,1408,1973
2016,1,Misiones,115189,100687,8113,4260,5963
2016,1,NeuquÃ©n,101846,89023,7174,3760,5273
2016,1,RÃ­o Negro,145598,127267,10255,5380,7538
2016,1,Salta,139346,121802,9815,5150,7214
2016,1,San Juan,114113,99745,8038,4220,5908
2016,1,San Luis,53797,47024,3789,1990,2785
2016,1,Santa Cruz,47233,41286,3327,1750,2445
2016,1,Santa Fe,741856,648454,52254,2742,38406
2016,1,Santiago del Estero,64481,56363,4542,2380,3338
2016,1,Tierra del Fuego,38952,34047,2744,1440,2017
2016,1,TucumÃ¡n,211561,184925,14902,7820,10952
2015,4,Buenos Aires,4713888,3960199,474122,16615,262952
2015,4,Capital Federal,1572421,1321012,158154,5542,87713
2015,4,Catamarca,39268,32990,395,1380,219
2015,4,Chaco,103362,86836,10396,3640,5766
2015,4,Chubut,110994,93247,11164,3910,6192
2015,4,CÃ³rdoba,721431,606084,72561,2543,40243
2015,4,Corrientes,107615,90409,10824,3790,6003
2015,4,Entre RÃ­os,228781,192202,23011,8060,12762
2015,4,Formosa,41567,34920,4181,1470,2319
2015,4,Jujuy,56957,47850,5729,2010,3177
2015,4,La Pampa,79736,66987,802,2810,4448
2015,4,La Rioja,38574,32406,388,1360,2152
2015,4,Mendoza,361160,303416,36325,1273,20146
2015,4,Misiones,111733,93868,11238,3940,6233
2015,4,NeuquÃ©n,108302,90986,10893,3820,6041
2015,4,RÃ­o Negro,135095,113495,13588,4760,7536
2015,4,Salta,141131,118566,14195,4970,7873
2015,4,San Juan,104387,87697,10499,3680,5823
2015,4,San Luis,53012,44536,5332,1870,2957
2015,4,Santa Cruz,52927,44465,5323,1870,2952
2015,4,Santa Fe,758242,637008,76264,2673,42297
2015,4,Santiago del Estero,68531,57573,6893,2420,3823
2015,4,Tierra del Fuego,35528,29848,3573,1250,1982
2015,4,TucumÃ¡n,213717,179546,21496,7530,11922
2015,3,Buenos Aires,4713132,3922463,513849,16521,260299
2015,3,Capital Federal,1627395,1354386,177427,5704,89878
2015,3,Catamarca,39243,32660,4278,1380,2167
2015,3,Chaco,107211,89225,11689,3760,5921
2015,3,Chubut,110101,91630,12004,3860,6081
2015,3,CÃ³rdoba,727761,605673,79344,2551,40193
2015,3,Corrientes,110808,92219,12081,3880,612
2015,3,Entre RÃ­os,235242,195778,25647,8250,12992
2015,3,Formosa,41803,34789,4558,1470,2309
2015,3,Jujuy,56787,47261,6191,1990,3136
2015,3,La Pampa,78651,65456,8575,2760,4344
2015,3,La Rioja,38651,32167,4214,1350,2135
2015,3,Mendoza,358373,298253,39072,1256,19792
2015,3,Misiones,113211,94219,12343,3970,6252
2015,3,NeuquÃ©n,98784,82212,1077,3460,5456
2015,3,RÃ­o Negro,133855,111399,14594,4690,7393
2015,3,Salta,141105,117433,15384,4950,7793
2015,3,San Juan,103306,85976,11263,3620,5705
2015,3,San Luis,53069,44166,5786,1860,2931
2015,3,Santa Cruz,60005,49939,6542,2100,3314
2015,3,Santa Fe,766859,638212,83607,2688,42352
2015,3,Santiago del Estero,69165,57562,7541,2420,382
2015,3,Tierra del Fuego,35152,29256,3832,1230,1941
2015,3,TucumÃ¡n,213481,177668,23275,7480,1179
2015,2,Buenos Aires,4665956,3872029,51512,16074,262733
2015,2,Capital Federal,1654650,1373106,182673,57,93171
2015,2,Catamarca,39141,32481,4321,1350,2204
2015,2,Chaco,104243,86506,11508,3590,587
2015,2,Chubut,107612,89302,1188,3710,6059
2015,2,CÃ³rdoba,724175,600954,79949,2495,40777
2015,2,Corrientes,108530,90063,11982,3740,6111
2015,2,Entre RÃ­os,229823,190718,25372,7920,12941
2015,2,Formosa,41848,34728,462,1440,2356
2015,2,Jujuy,56443,46840,6231,1940,3178
2015,2,La Pampa,78106,64816,8623,2690,4398
2015,2,La Rioja,38903,32283,4295,1340,2191
2015,2,Mendoza,350326,290717,38676,1207,19726
2015,2,Misiones,110526,91719,12202,3810,6224
2015,2,NeuquÃ©n,97708,81082,10787,3370,5502
2015,2,RÃ­o Negro,131424,109062,14509,4530,74
2015,2,Salta,140955,116971,15561,4860,7937
2015,2,San Juan,100775,83628,11126,3470,5674
2015,2,San Luis,52860,43866,5836,1820,2976
2015,2,Santa Cruz,58897,48876,6502,2030,3316
2015,2,Santa Fe,764496,634414,844,2634,43048
2015,2,Santiago del Estero,70102,58175,7739,2410,3947
2015,2,Tierra del Fuego,34186,28369,3774,1180,1925
2015,2,TucumÃ¡n,212182,176078,23425,7310,11948
2015,1,Buenos Aires,4801996,3979224,540095,17562,265115
2015,1,Capital Federal,1634130,1354140,183795,5976,90219
2015,1,Catamarca,39142,32436,4402,1430,2161
2015,1,Chaco,104250,86388,11725,3810,5756
2015,1,Chubut,104281,86414,11729,3810,5757
2015,1,CÃ³rdoba,729084,604164,82002,2666,40252
2015,1,Corrientes,108534,89938,12207,3970,5992
2015,1,Entre RÃ­os,229839,190458,25851,8410,12689
2015,1,Formosa,41854,34683,4707,1530,2311
2015,1,Jujuy,56446,46775,6349,2060,3116
2015,1,La Pampa,76862,63693,8645,2810,4243
2015,1,La Rioja,38902,32237,4375,1420,2148
2015,1,Mendoza,339093,280993,38139,124,18721
2015,1,Misiones,110526,91589,12431,4040,6102
2015,1,NeuquÃ©n,96099,79633,10809,3510,5306
2015,1,RÃ­o Negro,127343,105523,14323,4660,7031
2015,1,Salta,140946,116796,15853,5150,7782
2015,1,San Juan,98340,81490,11061,3600,5429
2015,1,San Luis,52039,43123,5853,1900,2873
2015,1,Santa Cruz,57685,47801,6488,2110,3185
2015,1,Santa Fe,766506,635174,86211,2803,42318
2015,1,Santiago del Estero,70101,58091,7884,2560,387
2015,1,Tierra del Fuego,33423,27697,3759,1220,1845
2015,1,TucumÃ¡n,212265,175896,23874,7760,11719
2014,4,Buenos Aires,4463139,3680053,509659,15264,258163
2014,4,Capital Federal,1615174,1331781,184442,5524,93427
2014,4,Catamarca,39423,32506,4502,1350,228
2014,4,Chaco,105378,86890,12033,3600,6095
2014,4,Chubut,99562,82093,11369,3410,5759
2014,4,CÃ³rdoba,731926,603505,83581,2503,42337
2014,4,Corrientes,105219,86758,12015,3600,6086
2014,4,Entre RÃ­os,230049,189685,2627,7870,13307
2014,4,Formosa,42133,34741,4811,1440,2437
2014,4,Jujuy,56456,46550,6447,1930,3266
2014,4,La Pampa,73063,60244,8343,2500,4226
2014,4,La Rioja,39162,32291,4472,1340,2265
2014,4,Mendoza,327635,270148,37414,1121,18952
2014,4,Misiones,111784,92171,12765,3820,6466
2014,4,NeuquÃ©n,93902,77426,10723,3210,5432
2014,4,RÃ­o Negro,123365,101720,14087,4220,7136
2014,4,Salta,141211,116435,16125,4830,8168
2014,4,San Juan,95135,78443,10864,3250,5503
2014,4,San Luis,51237,42247,5851,1750,2964
2014,4,Santa Cruz,41523,34237,4742,1420,2402
2014,4,Santa Fe,770455,635273,87981,2635,44566
2014,4,Santiago del Estero,70523,58150,8053,2410,4079
2014,4,Tierra del Fuego,32912,27137,3758,1130,1904
2014,4,TucumÃ¡n,212990,175620,24322,7280,1232
2014,3,Buenos Aires,4405762,3631816,500343,14902,258701
2014,3,Capital Federal,1607082,1324771,182509,5436,94366
2014,3,Catamarca,39453,32522,4481,1330,2317
2014,3,Chaco,105864,87267,12023,3580,6216
2014,3,Chubut,98074,80845,11138,3320,5759
2014,3,CÃ³rdoba,733130,604343,83258,248,43049
2014,3,Corrientes,105505,86971,11982,3570,6195
2014,3,Entre RÃ­os,230563,190061,26184,7800,13538
2014,3,Formosa,42310,34878,4805,1430,2484
2014,3,Jujuy,56366,46464,6401,1910,331
2014,3,La Pampa,72155,59480,8194,2440,4237
2014,3,La Rioja,39373,32457,4471,1330,2312
2014,3,Mendoza,320228,263975,36367,1083,18803
2014,3,Misiones,111998,92324,12719,3790,6576
2014,3,NeuquÃ©n,92775,76477,10536,3140,5448
2014,3,RÃ­o Negro,121350,100033,13781,4100,7126
2014,3,Salta,141312,116488,16048,4780,8298
2014,3,San Juan,93056,76709,10568,3150,5464
2014,3,San Luis,50779,41858,5767,1720,2982
2014,3,Santa Cruz,41015,33810,4658,1390,2408
2014,3,Santa Fe,772744,636998,87757,2614,45375
2014,3,Santiago del Estero,70719,58296,8031,2390,4153
2014,3,Tierra del Fuego,32698,26954,3713,1110,192
2014,3,TucumÃ¡n,212958,175548,24185,7200,12505
2014,2,Buenos Aires,4379382,3610509,492119,14373,262381
2014,2,Capital Federal,1602485,1321143,180074,5259,96009
2014,2,Catamarca,39351,32442,4422,1290,2358
2014,2,Chaco,102310,84347,11497,3360,613
2014,2,Chubut,97603,80467,10968,3200,5848
2014,2,CÃ³rdoba,737107,607696,8283,2419,44162
2014,2,Corrientes,102628,84609,11533,3370,6149
2014,2,Entre RÃ­os,223774,184487,25146,7340,13407
2014,2,Formosa,42246,34829,4747,1390,2531
2014,2,Jujuy,56187,46323,6314,1840,3366
2014,2,La Pampa,72837,60049,8185,2390,4364
2014,2,La Rioja,39474,32543,4436,1300,2365
2014,2,Mendoza,320351,264109,35998,1051,19193
2014,2,Misiones,110906,91434,12463,3640,6645
2014,2,NeuquÃ©n,92792,76501,10427,3050,5559
2014,2,RÃ­o Negro,121250,99963,13625,3980,7264
2014,2,Salta,141122,116346,15858,4630,8455
2014,2,San Juan,92439,76210,10388,3030,5538
2014,2,San Luis,51093,42123,5741,1680,3061
2014,2,Santa Cruz,40728,33577,4577,1340,244
2014,2,Santa Fe,767767,632973,86275,252,45999
2014,2,Santiago del Estero,70616,58218,7935,2320,4231
2014,2,Tierra del Fuego,32631,26902,3667,1070,1955
2014,2,TucumÃ¡n,211913,174709,23813,6950,12696
2014,1,Buenos Aires,4385408,3622153,48881,14179,260266
2014,1,Capital Federal,1604914,1325588,178888,5189,95249
2014,1,Catamarca,39318,32476,4382,1270,2333
2014,1,Chaco,102435,84607,11418,3310,6079
2014,1,Chubut,97607,80618,1088,3160,5793
2014,1,CÃ³rdoba,741515,612460,82651,2397,44007
2014,1,Corrientes,102607,84748,11437,3320,609
2014,1,Entre RÃ­os,223508,184607,24913,7230,13265
2014,1,Formosa,42201,34856,4704,1360,2505
2014,1,Jujuy,55953,46214,6237,1810,3321
2014,1,La Pampa,72038,59500,803,2330,4275
2014,1,La Rioja,39625,32728,4417,1280,2352
2014,1,Mendoza,320413,264647,35714,1036,19016
2014,1,Misiones,111018,91696,12374,3590,6589
2014,1,NeuquÃ©n,92732,76593,10336,3000,5503
2014,1,RÃ­o Negro,121289,100180,13519,3920,7198
2014,1,Salta,140841,116328,15699,4550,8359
2014,1,San Juan,92461,76369,10306,2990,5487
2014,1,San Luis,51097,42205,5695,1650,3032
2014,1,Santa Cruz,40625,33555,4528,1310,2411
2014,1,Santa Fe,770361,636284,85867,2491,45719
2014,1,Santiago del Estero,70717,58409,7882,2290,4197
2014,1,Tierra del Fuego,32631,26951,3637,1060,1937
2014,1,TucumÃ¡n,210917,174209,23509,6820,12517
